species,bird_group,United_Kingdom,Vietnam,Australia,New_Zealand,Indonesia,Malaysia,Thailand,Spain,Comments,Image_link,Favourites
Arctic Tern,,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/308404421/1800,
Ashy Bulbul,Bulbuls,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/547919691/1800,
Ashy Woodswallow,Hirundines,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/133719971/1800,
Asian Fairy Bluebird,,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/300066481/,TRUE
Asian Glossy Starling,Corvids Starlings and Thrushes,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158502461/1800,
Asian Koel,,,,,,,,TRUE,,,https://zolimacitymag.com/wp-content/uploads/2021/03/Asian-Koel_feeding_Meera-Jhogasundram_zolima-citymag.jpg,TRUE
Asian Openbill,,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/133718611/1800,TRUE
Asian Palm Swift,Hirundines,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126573081/1800,
Asian Pied Starling,Corvids Starlings and Thrushes,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/133719541/1800,
Atlantic Puffin,,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/302851271/900,TRUE
Australasian Gannet,,,,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/116562371/1800,
Australasian Swamp Hen ,Crakes and Rails,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117373331/1800,
Australian Brush Turkey,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121407271/1800,TRUE
Australian Magpie,Corvids Starlings and Thrushes,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117501201/1800,
Australian Pelican ,,,,TRUE,,,,,,,https://media.australian.museum/media/dd/images/australian_pelicans.f03ba4a.width-800.a91c827.jpg,TRUE
Australian Pied Cormorant,Cormorants and Shags,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/116569241/1800,
Australian Raven,Corvids Starlings and Thrushes,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125819411/1800,
Australian Swiftlet,Hirundines,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/298762681/,
Australian White Ibis,,,,TRUE,,,,,,,https://particle.scitech.org.au/wp-content/uploads/2021/12/GettyImages-1069611670-1.jpg,TRUE
Australian Wood Duck,Ducks Geese and Swans,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121404661/1800,
Avocet,Waders,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:18599eb9-d9c6-48d7-8e67-5f48758d605e/2271605061-Species-avocet-stood-in-shallow-water.jpg,
Azure Kingfisher,Kingfishers,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121680561/1800,
Bar Shouldered Dove,Doves and Pigeons,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122178741/1800,
Bar Tailed Godwit,Waders,TRUE,,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/46320861/900,
Bar Winged Flycatcher Shrike,,,,,,,,TRUE,,,https://2.bp.blogspot.com/-OwxO9jmBdVM/WfCM5GxNaYI/AAAAAAAASQk/P0pBgUmCGaIm42Q3XR4Up-sl4e-ItkYVQCLcBGAs/s1600/Bar-winged%2Bflycatcher-shrike%2B-%2BHemipus%2Bpicatus3.jpg,TRUE
Barn Owl,,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/297342421/1800,
Barn Swallow,Hirundines,TRUE,,,,,,,TRUE,,https://inaturalist-open-data.s3.amazonaws.com/photos/122469139/large.jpg,
Barnacle Goose,Ducks Geese and Swans,TRUE,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f5/Barnacle-Goose.jpg,
Bittern,Herons and Egrets,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:495fb6ee-2910-4e9e-989c-a6469d1d417d/274927397-Species-Bittern-stalking-prey-in-the-reed-lined-lake.jpg,
Black and Red Broadbill,,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/221917761/1800,TRUE
Black Bittern,Herons and Egrets,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/145128521/1800,TRUE
Black Butcherbird,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/61960641/,
Black Collared Starling,Corvids Starlings and Thrushes,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158657451/1800,
Black Crested Bulbul,Bulbuls,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85684471/,TRUE
Black Crowned Night Heron,Herons and Egrets,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304988121/1800,TRUE
Black Headed Bulbul,Bulbuls,,,,,,,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/187385431/1800,
Black Headed Gull,Gulls and Terns,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:cc384178-0198-42d7-b897-90faca1117a5/1655873332-Species-Black-Headed-gull-stood-on-wall.jpg,
Black Kite,Birds of Prey,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/45127481/1800,
Black Naped Oriole,,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/147997061/1800,TRUE
Black Redstart,,TRUE,,,,,,,TRUE,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/44587591/1800,
Black Shouldered Kite,Birds of Prey,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121538981/1800,TRUE
Black Swan,Ducks Geese and Swans,,,TRUE,TRUE,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0a/Black_Swan_2_-_Pitt_Town_Lagoon.jpg,
Black Tailed Godwit,Waders,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/300137231/1800,
Black Throated Sunbird,Sunbirds,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/187565151/1800,
Black Winged Stilt,Waders,,,,,,,TRUE,,,https://www.thainationalparks.com/img/species/2020/08/18/396059/black-winged-stilt-w-1500.jpg,
Blue Faced Honeyeater,Honeyeaters,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125391221/1800,TRUE
Blue Tit,Tits,TRUE,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/86/Eurasian_blue_tit_Lancashire.jpg,
Brahminy Kite,Birds of Prey,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121676231/1800,TRUE
Brent Goose,Ducks Geese and Swans,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:5e293292-50f9-4861-8526-f7ddb32a1262/1204134058-Species-Brent-Goose-Stood-in-meadow.jpg,
Brown Cuckoo Dove,Doves and Pigeons,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/238397511/,TRUE
Brown Throated Sunbird,Sunbirds,,,,,,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/239021721/1800,TRUE
Brown Treecreeper,,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/123614961/1800,
Bullfinch,Sparrows and Finches,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:3c3f640d-e52d-4479-9925-055c0a2f20aa/1647840715-Species-Bullfinch-MALE-on-branch.jpg,
Bush Stone Curlew,Waders,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122310541/1800,TRUE
Canada Goose,Ducks Geese and Swans,TRUE,,,TRUE,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/40/Canada_goose_on_Seedskadee_NWR_%2827826185489%29.jpg,
Carrion Crow,Corvids Starlings and Thrushes,TRUE,,,,,,,,,https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:53533d89-9126-48eb-9ddd-68523c84b4dd/___1321804052-Species-Crow-Carrion-Crow-on-branch_1.9729622456807021118.jpg,
