,Species,Group,United Kingdom,Vietnam,Australia,New Zealand,Indonesia,Malaysia,Thailand,Spain,Comments,Favourites,Image link
Totals,237,17,34,13,101,37,23,15,39,34,,68,
,Tree Sparrow,Sparrows and Finches,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,https://upload.wikimedia.org/wikipedia/commons/9/98/Tree_Sparrow_August_2007_Osaka_Japan.jpg
,Red Whiskered Bulbul,Bulbuls,,TRUE,,,,,TRUE,,,,https://www.agric.wa.gov.au/sites/gateway/files/Bulbul%20Jay%20Yeung%202010_FOR%20USE%20IN%20PEST%20ALERT%20ONLY.jpg
,Ashy Bulbul,Bulbuls,,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/547919691/1800
,Oriental White-Eye,,,TRUE,,,,,,,,,https://www.birdsofgilgit.com/birds/images/Oriental%20White%20eye.jpg
,Asian Palm Swift,Hirundines,,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126573081/1800
,Black Throated Sunbird,,,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/187565151/1800
,Scarlet Minivet,,,TRUE,,,,,,,,TRUE,https://live.staticflickr.com/7297/16456583036_628cdcd7d6_n.jpg
,Black Kite,Birds of Prey,,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/45127481/1800
,White Browed Crake,Crakes and Rails,,TRUE,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3a/Porzana_cinerea_-_Bueng_Boraphet.jpg
,Long Tailed Shrike,,,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/133755601/1800
,Indian Pond Heron,Herons and Egrets,,TRUE,,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126568571/1800
,Spotted Dove,Doves and Pigeons,,TRUE,TRUE,,TRUE,TRUE,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85868591/1800
,Zebra Dove,Doves and Pigeons,,TRUE,,,TRUE,TRUE,TRUE,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/97298941/1800
,Laughing Kookaburra,Kingfishers,,,TRUE,,,,,,,TRUE,https://upload.wikimedia.org/wikipedia/commons/9/9b/Laughing_kookaburra_dec08_02.jpg
,Sulphur Crested Cockatoo,Parrots and Cockatoos etc,,,TRUE,,,,,,,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Cacatua_galerita_Tas_2.jpg/640px-Cacatua_galerita_Tas_2.jpg
,Rainbow Lorikeet,Parrots and Cockatoos etc,,,TRUE,,,,,,,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Rainbow_lorikeet.jpg/800px-Rainbow_lorikeet.jpg
,King Parrot,Parrots and Cockatoos etc,,,TRUE,,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122710031/1800
,Red Wattlebird,,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/124422521/1800
,Eastern Spinebill,Honeyeaters,,,TRUE,,,,,,,TRUE,https://upload.wikimedia.org/wikipedia/commons/f/fb/Acanthorhynchus_tenuirostris_-_Mogo_Campground.jpg
,Rosella,Parrots and Cockatoos etc,,,TRUE,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/01/Platycercus_elegans_Wilsons_Prom.jpg
,Galah,Parrots and Cockatoos etc,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122706091/1800
,Superb Fairy Wren,,,,TRUE,,,,,,,TRUE,https://i.guim.co.uk/img/media/81cf1247719d19e3a59b08577e12485e439a5ce4/0_225_3425_2054/master/3425.jpg?width=1200&height=1200&quality=85&auto=format&fit=crop&s=41dcc2ab2ac8e3c1e2a99aa3050d22d9
,Common Myna,,,,TRUE,,,,TRUE,,,,https://upload.wikimedia.org/wikipedia/commons/3/3c/Acridotheres_tristis00.jpg
,Noisy Miner,Honeyeaters,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/124418631/1800
,Grey Fantail,,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125802171/1800
,Pacific Black Duck ,Ducks Geese and Swans,,,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/116455961/1800
