,Species,Lifer?,Group,Vietnam?,Australia?,New Zealand?,Bali?,KL?,Thailand?,Comments,Favourite?
Totals,207,194,,13,101,37,23,15,40,,68
,Tree Sparrow,FALSE,Sparrows and Finches,TRUE,,,TRUE,TRUE,TRUE,,
,Red Whiskered Bulbul,TRUE,Bulbuls,TRUE,,,,,TRUE,,
,Ashy Bulbul,TRUE,Bulbuls,TRUE,,,,,,,
,Oriental White-Eye,TRUE,,TRUE,,,,,,,
,Asian Palm Swift,TRUE,Hirundines,TRUE,,,,,,,
,Black Throated Sunbird,TRUE,Sunbirds,TRUE,,,,,,,
,Scarlet Minivet,TRUE,,TRUE,,,,,,,TRUE
,Black Kite,TRUE,Birds of Prey,TRUE,,,,,,,
,White Browed Crake,TRUE,Crakes and Rails,TRUE,,,,,,,
,Long Tailed Shrike,TRUE,Shrikes,TRUE,,,,,,,
,Indian Pond Heron,TRUE,Herons and Egrets,TRUE,,,,,,,
,Spotted Dove,TRUE,Doves and Pigeons,TRUE,TRUE,,TRUE,TRUE,TRUE,,
,Zebra Dove,TRUE,Doves and Pigeons,TRUE,,,TRUE,TRUE,TRUE,,
,Laughing Kookaburra,TRUE,Kingfishers,,TRUE,,,,,,TRUE
,Sulphur Crested Cockatoo,TRUE,Parrots and Cockatoos etc,,TRUE,,,,,,TRUE
,Rainbow Lorikeet,TRUE,Parrots and Cockatoos etc,,TRUE,,,,,,TRUE
,King Parrot,TRUE,Parrots and Cockatoos etc,,TRUE,,,,,,TRUE
,Red Wattlebird,TRUE,Wattlebirds,,TRUE,,,,,,
,Eastern Spinebill,TRUE,Honeyeaters,,TRUE,,,,,,TRUE
,Rosella,TRUE,Parrots and Cockatoos etc,,TRUE,,,,,,
,Galah,TRUE,Parrots and Cockatoos etc,,TRUE,,,,,,
,Superb Fairy Wren,TRUE,Wrens,,TRUE,,,,,,TRUE
,Common Myna,TRUE,Mynas,,TRUE,,,,TRUE,,
,Noisy Myna,TRUE,Mynas,,TRUE,,,,,,
,Grey Fantail,TRUE,Fantails,,TRUE,,,,,,
,Pacific Black Duck ,TRUE,Ducks and Grebes,,TRUE,,,,,,
,Australian Wood Duck,TRUE,Ducks and Grebes,,TRUE,,,,,,
,New Holland Honey Eater,TRUE,Honeyeaters,,TRUE,,,,,,TRUE
,Singing Honey Eater,TRUE,Honeyeaters,,TRUE,,,,,,
,Black Swan,TRUE,Swans and Geese,,TRUE,TRUE,,,,,
,Little Penguin,TRUE,,,TRUE,,,,,,TRUE
