,Species,Lifer?,Group,Vietnam?,Australia?,New Zealand?,Bali?,KL?,Thailand?,Comments,Favourite?,Image link
Totals,207,194,,13,101,37,23,15,40,,68,
,Tree Sparrow,FALSE,Sparrows and Finches,TRUE,,,TRUE,TRUE,TRUE,,,https://upload.wikimedia.org/wikipedia/commons/9/98/Tree_Sparrow_August_2007_Osaka_Japan.jpg
,Red Whiskered Bulbul,TRUE,Bulbuls,TRUE,,,,,TRUE,,,https://www.agric.wa.gov.au/sites/gateway/files/Bulbul%20Jay%20Yeung%202010_FOR%20USE%20IN%20PEST%20ALERT%20ONLY.jpg
,Ashy Bulbul,TRUE,Bulbuls,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/547919691/1800
,Oriental White-Eye,TRUE,,TRUE,,,,,,,,https://www.birdsofgilgit.com/birds/images/Oriental%20White%20eye.jpg
,Asian Palm Swift,TRUE,Hirundines,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126573081/1800
,Black Throated Sunbird,TRUE,Sunbirds,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/187565151/1800
,Scarlet Minivet,TRUE,,TRUE,,,,,,,TRUE,https://live.staticflickr.com/7297/16456583036_628cdcd7d6_n.jpg
,Black Kite,TRUE,Birds of Prey,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/45127481/1800
,White Browed Crake,TRUE,Crakes and Rails,TRUE,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3a/Porzana_cinerea_-_Bueng_Boraphet.jpg
,Long Tailed Shrike,TRUE,Shrikes,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/133755601/1800
,Indian Pond Heron,TRUE,Herons and Egrets,TRUE,,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/126568571/1800
,Spotted Dove,TRUE,Doves and Pigeons,TRUE,TRUE,,TRUE,TRUE,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85868591/1800
,Zebra Dove,TRUE,Doves and Pigeons,TRUE,,,TRUE,TRUE,TRUE,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/97298941/1800
,Laughing Kookaburra,TRUE,Kingfishers,,TRUE,,,,,,TRUE,https://upload.wikimedia.org/wikipedia/commons/9/9b/Laughing_kookaburra_dec08_02.jpg
,Sulphur Crested Cockatoo,TRUE,Parrots and Cockatoos etc,,TRUE,,,,,,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Cacatua_galerita_Tas_2.jpg/640px-Cacatua_galerita_Tas_2.jpg
,Rainbow Lorikeet,TRUE,Parrots and Cockatoos etc,,TRUE,,,,,,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Rainbow_lorikeet.jpg/800px-Rainbow_lorikeet.jpg
,King Parrot,TRUE,Parrots and Cockatoos etc,,TRUE,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122710031/1800
,Red Wattlebird,TRUE,Wattlebirds,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/124422521/1800
,Eastern Spinebill,TRUE,Honeyeaters,,TRUE,,,,,,TRUE,https://upload.wikimedia.org/wikipedia/commons/f/fb/Acanthorhynchus_tenuirostris_-_Mogo_Campground.jpg
,Rosella,TRUE,Parrots and Cockatoos etc,,TRUE,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/01/Platycercus_elegans_Wilsons_Prom.jpg
,Galah,TRUE,Parrots and Cockatoos etc,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122706091/1800
,Superb Fairy Wren,TRUE,Wrens,,TRUE,,,,,,TRUE,https://i.guim.co.uk/img/media/81cf1247719d19e3a59b08577e12485e439a5ce4/0_225_3425_2054/master/3425.jpg?width=1200&height=1200&quality=85&auto=format&fit=crop&s=41dcc2ab2ac8e3c1e2a99aa3050d22d9
,Common Myna,TRUE,Mynas,,TRUE,,,,TRUE,,,https://upload.wikimedia.org/wikipedia/commons/3/3c/Acridotheres_tristis00.jpg
,Noisy Miner,TRUE,Honeyeaters,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/124418631/1800
,Grey Fantail,TRUE,Fantails,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125802171/1800
,Pacific Black Duck ,TRUE,Ducks and Grebes,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/116455961/1800
,Australian Wood Duck,TRUE,Ducks and Grebes,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121404661/1800
,New Holland Honey Eater,TRUE,Honeyeaters,,TRUE,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125388631/1800
,Singing Honey Eater,TRUE,Honeyeaters,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/124441901/1800
,Black Swan,TRUE,Swans and Geese,,TRUE,TRUE,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0a/Black_Swan_2_-_Pitt_Town_Lagoon.jpg
,Little Penguin,TRUE,,,TRUE,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/116459461/1800
,Yellow Tailed Black Cockatoo,TRUE,Parrots and Cockatoos etc,,TRUE,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122684931/1800
,Little Pied Cormorant,TRUE,Cormorants and Shags,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/116562821/1800
,Australian Pied Cormorant,TRUE,Cormorants and Shags,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/116569241/1800
,Silver Gull,TRUE,Gulls,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110144521/1800
,Sooty Oystercatcher,TRUE,Oystercatchers,,TRUE,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/246750531/
,Pied Oystercatcher,TRUE,Oystercatchers,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122311761/1800
,Sanderling,FALSE,Waders,,TRUE,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/73/Calidris_alba_-_Laem_Phak_Bia.jpg
,White Faced Heron,TRUE,Herons and Egrets,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117370621/1800
,Australasian Swamp Hen ,TRUE,Crakes and Rails,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117373331/1800
,Dusky Moorhen,TRUE,Crakes and Rails,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122302351/1800
,Eurasian Coot,FALSE,Crakes and Rails,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/44601541/1800
,Black Shouldered Kite,TRUE,Birds of Prey,,TRUE,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/121538981/1800
,Nankeen Kestrel,TRUE,Birds of Prey,,TRUE,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/81/Falco_cenchroides_-_Bushell%27s_Lagoon.jpg
,Crested Pigeon,TRUE,Doves and Pigeons,,TRUE,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/122169901/1800
,Welcome Swallow,TRUE,Hirundines,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117504911/1800
,Brown Treecreeper,TRUE,Treecreepers,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/123614961/1800
,Pied Currawong,TRUE,Corvids,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125703661/1800
,Australian Magpie,TRUE,Corvids,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/117501201/1800
,Magpie Lark,TRUE,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125802621/1800
,Silver Eye,TRUE,,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125802621/1800
,Common Starling,FALSE,Starlings,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/303929131/1800
,Common Blackbird,FALSE,Thrushes,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/44584641/1800
,Red Browed Finch,TRUE,Sparrows and Finches,,TRUE,,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125933071/1800
,House Sparrow,FALSE,Sparrows and Finches,,TRUE,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9b/House_sparrow_male_in_Prospect_Park_%2853532%29.jpg
,Eastern Whipbird,TRUE,,,TRUE,,,,,,TRUE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125654841/1800
,Canada Goose,FALSE,Swans and Geese,,,TRUE,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/40/Canada_goose_on_Seedskadee_NWR_%2827826185489%29.jpg
,Paradise Shelduck,TRUE,Ducks and Grebes,,,TRUE,,,,,,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/110240061/1800
,New Zealand Scaup,TRUE,Ducks and Grebes,,,TRUE,,,,,,
,Kererū,TRUE,Doves and Pigeons,,,TRUE,,,,,TRUE,
,Weka,TRUE,Crakes and Rails,,,TRUE,,,,,TRUE,
,Pūkeko,TRUE,Crakes and Rails,,,TRUE,,,,,,
,South Island Takahē,TRUE,Crakes and Rails,,,TRUE,,,,,,
,New Zealand Dabchick,TRUE,Ducks and Grebes,,,TRUE,,,,,,
,Variable Oystercatcher,TRUE,Oystercatchers,,,TRUE,,,,,,
,South Island Pied Oystercatcher,TRUE,Oystercatchers,,,TRUE,,,,,,
,Pied Stilt,TRUE,Waders,,,TRUE,,,,,,
,Masked Lapwing,TRUE,Waders,,TRUE,TRUE,,,,,TRUE,
,Bar Tailed Godwit,FALSE,Waders,,,TRUE,,,,,,
,Red Billed Gull,TRUE,Gulls,,,TRUE,,,,,,
,Southern Black Backed Gull,TRUE,Gulls,,,TRUE,,,,,,
,White Fronted Tern,TRUE,Terns,,,TRUE,,,,,,
,Caspian Tern,TRUE,Terns,,,TRUE,,,,,,
,Northern Royal Albatross,TRUE,,,,TRUE,,,,,TRUE,
,Fluttering Shearwater,TRUE,,,,TRUE,,,,,,
,Australasian Gannet,TRUE,,,,TRUE,,,,,,
,Spotted Shag,TRUE,Cormorants and Shags,,,TRUE,,,,,,
,Otago Shag,TRUE,Cormorants and Shags,,,TRUE,,,,,,
,New Zealand King Shag,TRUE,Cormorants and Shags,,,TRUE,,,,,,
,Royal Spoonbill,TRUE,,,,TRUE,,,,,TRUE,
,Swamp Harrier,TRUE,Birds of Prey,,,TRUE,,,,,,
,New Zealand Falcon,TRUE,Birds of Prey,,,TRUE,,,,,,
,Sacred Kingfisher,TRUE,Kingfishers,,,TRUE,,,,,,
,Kākā,TRUE,Parrots and Cockatoos etc,,,TRUE,,,,,TRUE,
,Tūī,TRUE,,,,TRUE,,,,,TRUE,
,North Island Saddleback,TRUE,,,,TRUE,,,,,TRUE,
,New Zealand Bellbird,TRUE,,,,TRUE,,,,,,
,Whitehead,TRUE,,,,TRUE,,,,,,
,New Zealand Fantail,TRUE,Fantails,,,TRUE,,,,,TRUE,
,North Island Robin ,TRUE,Robins,,,TRUE,,,,,,
,South Island Robin,TRUE,Robins,,,TRUE,,,,,,
,Chaffinch,FALSE,Sparrows and Finches,,,TRUE,,,,,,
,Australian White Ibis,TRUE,,,TRUE,,,,,,TRUE,
,Little Corella,TRUE,Parrots and Cockatoos etc,,TRUE,,,,,,,
,Greater Crested Tern,TRUE,Terns,,TRUE,,,,,,TRUE,
,Australian Brush Turkey,TRUE,,,TRUE,,,,,,TRUE,
,White Cheeked Honeyeater,TRUE,Honeyeaters,,TRUE,,,,,,,
,Little Wattlebird,TRUE,Wattlebirds,,TRUE,,,,,,,
,Australian Raven,TRUE,Corvids,,TRUE,,,,,,,
,Willie Wagtail,TRUE,Wagtails,,TRUE,,,,,,TRUE,
,Pacific Swift,TRUE,Hirundines,,TRUE,,,,,,,
,Lewin's Honeyeater,TRUE,Honeyeaters,,TRUE,,,,,,,
,Fan Tailed Cuckoo,TRUE,Cuckoos,,TRUE,,,,,,TRUE,
,Striated Heron,TRUE,Herons and Egrets,,TRUE,,,,,,,
,Whistling Kite,TRUE,Birds of Prey,,TRUE,,,,,,,
,White Bellied Sea Eagle,TRUE,Birds of Prey,,TRUE,,,,,,TRUE,
,Eastern Osprey,TRUE,Birds of Prey,,TRUE,,,,,,,
,Rufous Fantail,TRUE,Fantails,,TRUE,,,,,,TRUE,
,Eastern Reef Egret,TRUE,Herons and Egrets,,TRUE,,,,,,,
,Blue Faced Honeyeater,TRUE,Honeyeaters,,TRUE,,,,,,TRUE,
,Tree Martin,TRUE,Hirundines,,TRUE,,,,,,,
,Pied Butcherbird,TRUE,Butcherbirds,,TRUE,,,,,,,
,Australian Pelican ,TRUE,,,TRUE,,,,,,TRUE,
